"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","부대시설내역","방송시설유무","건물용도명","자본금","좌석수","건축연면적","문화체육업종명","문화사업자구분명","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"80","SK 네트웍스(주) 워커힐 면세점","서울특별시 광진구 광장동 산 21번지 ","서울특별시 광진구 워커힐로 177 (광장동)","20041111","운영중","","","","","","143210","","","","","","","외국인전용관광기념품판매점","관광사업","1599-1110","209963.03279900000  ","451028.72920500000  ","영업중"
"79","(주)아이비씨코스메틱","서울특별시 은평구 역촌동 27-7번지 한울빌딩 1~3층 ","서울특별시 은평구 진흥로 87 (역촌동, 한울빌딩)","20121221","운영중","","","","","","122897","","","","50000000","","","외국인전용관광기념품판매점","","354-0888","193087.92236800000  ","456132.21162700000  ","영업중"
"78","아로양행","서울특별시 중랑구 상봉동 101번지 이지팰리스 405호","서울특별시 중랑구 망우로 312-1 (상봉동)","20091125","운영중","","","","","","131859","","","사무실","90000000","","","외국인전용관광기념품판매점","","2208-7184","207697.80303300000  ","455228.96850800000  ","영업중"
"77","(주)뉴미자코스메틱","서울특별시 서대문구 북가좌동 150번지 남수주상복합빌딩 1층 2-1,2-2 ","서울특별시 서대문구 수색로 102 (북가좌동)","20130502","운영중","","","","","","120811","","","","50000000","","","외국인전용관광기념품판매점","","338-1655","191899.33952300000  ","452595.30391900000  ","영업중"
"76","신촌유지비","서울특별시 서대문구 대현동 27-53번지 1층 ","서울특별시 서대문구 이화여대7길 40, 1층 (대현동)","20120904","운영중","","","","","","120170","","","","","","","외국인전용관광기념품판매점","","02-392-1788","194998.67677100000  ","451016.27590600000  ","영업중"
"75","뷰티코코","서울특별시 서대문구 연희동 703번지 1층 ","서울특별시 서대문구 증가로 80, 1층 (연희동)","20120409","운영중","","","","","","120110","","","","","","","외국인전용관광기념품판매점","","02-720-2988","193588.91172700000  ","452787.13511500000  ","영업중"
"74","화창코리아(주) ［지점］","서울특별시 서대문구 연희동 81-11번지 ","서울특별시 서대문구 연희로 161 (연희동)","20120329","운영중","","","","","","120110","","","","50000000","","","외국인전용관광기념품판매점","","02-325-6999","194208.87488600000  ","452463.94799300000  ","영업중"
"73","주식회사 보수서간원","서울특별시 서대문구 충정로3가 476번지 구세군빌딩 지하1층 8~13호 ","서울특별시 서대문구 충정로 7 (충정로3가, 구세군빌딩)","20120209","운영중","","","","","","120013","","","","300000000","","","외국인전용관광기념품판매점","","02-6364-4987","196667.47397300000  ","451176.51259200000  ","영업중"
"72","(주)진코스메틱","서울특별시 서대문구 연희동 169-25번지 ","서울특별시 서대문구 연희로 245 (연희동)","20111207","운영중","","","","","","120110","","","","","","","외국인전용관광기념품판매점","","3144-4933","194324.68891800000  ","453274.09324500000  ","영업중"
"71","미란다 코스메틱","서울특별시 서대문구 홍은동 402-39번지 성우아파트 1층 A-102호, B-101호 ","서울특별시 서대문구 가좌로 83  (홍은동,성우아파트 1층 A-102호, B-101호)","20101126","운영중","","","","","","120102","","","","300000000","","","외국인전용관광기념품판매점","","02-303-0265","193619.99810400000  ","453420.27102400000  ","영업중"
